# sresa2_ncar-pcm1_2_Prcp,,,,,,,,,,,,,,
,Arizona/New Mexico Mountains,Arizona/New Mexico Plateau,Central Basin and Range,Chihuahuan Deserts,Colorado Plateaus,High Plains,Mojave Basin and Range,Northern Basin and Range,Northwestern Great Plains,Sonoran Basin and Range,Southern Rockies,Southwestern Tablelands,Wasatch and Uinta Mountains,Wyoming Basin
TIMESTEP,MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d)
1952-06-15T00:00:00Z,1.0910215,0.8593551,0.70039916,1.6330785,0.9231325,2.575173,0.44167563,1.4480709,1.4697708,0.5487359,2.6837232,2.0792685,1.2798455,1.8142184
1952-07-15T00:00:00Z,2.8344045,2.0586658,2.2697132,3.1750424,1.469153,0.9565413,2.3265738,2.5423234,0.4094115,2.6263597,2.5843925,3.8316882,2.3418124,2.044067
1952-08-15T00:00:00Z,1.541582,1.1578944,0.30327442,3.5566845,0.52386767,1.2152506,0.15555863,1.1166193,0.4735307,0.2494707,2.2415342,3.5750628,0.57984155,0.76885283
1952-09-15T00:00:00Z,1.0916245,0.82333744,0.74147385,1.596957,0.7654363,0.6623483,0.6048302,2.5760121,0.92170626,0.92655945,0.890319,1.2039998,1.2197127,1.005584
1952-10-15T00:00:00Z,0.6453816,0.548125,0.42481342,0.6394413,0.58424556,0.58769643,0.2073156,1.4585812,1.1689441,0.41217202,1.0865301,0.5986244,0.9676768,0.9632935
1952-11-15T00:00:00Z,0.6181742,0.45986918,1.2064286,0.6294525,0.6636379,0.39649633,0.51858366,2.0403206,0.51267326,0.48606175,1.2633345,0.6617742,1.9835078,1.4295161
1952-12-15T00:00:00Z,1.2535,0.9552639,2.4199831,0.2869742,1.5622631,0.68188214,1.6618661,4.4128523,1.3526306,1.4437852,2.887558,0.34708574,3.8294501,2.2955654
1953-01-16T00:00:00Z,0.10971207,0.084300555,0.10447703,0.18223922,0.09064266,0.16196245,0.030095205,0.4498309,0.23129605,0.035624463,0.59021723,0.21321414,0.16827762,0.16284074
1953-02-16T00:00:00Z,0.46173027,0.31563446,1.0133487,0.3423813,0.36869743,0.1902111,0.6260077,1.2508445,0.50246644,0.4455098,0.7022266,0.306299,1.0907843,0.6930376
1953-03-15T00:00:00Z,0.4032704,0.30492762,1.4571282,0.055779163,0.5780204,0.60875094,0.8288558,2.726621,1.2239094,0.7189736,1.1815158,0.05996959,2.0204513,1.4662495
1953-04-15T00:00:00Z,0.4565948,0.40092197,0.91598374,0.25400272,0.6289014,2.2818203,0.3554348,2.5041513,3.5068765,0.33523333,2.2073863,0.5865873,1.8873798,2.067367
1953-05-15T00:00:00Z,0.38819763,0.32838798,0.63509154,0.53832704,0.52472264,2.7790053,0.2647658,2.9101298,3.0679252,0.076463595,1.6925828,1.173912,1.2235243,1.5551627
1953-06-15T00:00:00Z,0.26615375,0.22030497,0.09335226,0.70470315,0.15367675,1.9567595,0.050904512,0.7615245,2.0961628,0.006601108,1.092586,1.2970698,0.24702036,0.6831966
1953-07-15T00:00:00Z,1.4310651,1.0915409,0.25779927,1.6632491,0.48437226,1.6416639,0.26824734,0.21811488,1.1278629,0.4536487,1.6748029,1.7211702,0.37144494,0.6373001
1953-08-15T00:00:00Z,1.9539477,1.6548781,1.8660839,1.4179727,1.4504538,1.0190611,1.46589,0.78452224,0.37470317,2.006665,2.0112286,1.4244357,1.9136959,1.2493992
1953-09-15T00:00:00Z,0.40250516,0.3075885,0.042039957,0.91063213,0.060541917,0.62893504,0.08297918,0.04583358,0.45367065,0.23839091,0.6744111,1.0094944,0.04110802,0.20875743
1953-10-15T00:00:00Z,2.405589,1.9168226,0.3822183,2.447791,0.7020039,0.32559335,0.3411169,0.40336022,0.28559402,0.89068705,1.9932756,2.675694,0.43340406,0.27066776
1953-11-15T00:00:00Z,1.8966587,1.5198926,3.5864134,0.43207568,2.00542,0.5841094,1.978517,2.9982936,1.2687051,2.9450047,2.1009958,0.36677587,4.644625,2.6069455
1953-12-15T00:00:00Z,0.40602407,0.25290915,0.44496012,0.7569562,0.32305485,0.10946676,0.17854688,1.3708471,0.20458868,0.10634773,0.7541736,0.9224122,1.0037534,0.5468199
1954-01-16T00:00:00Z,0.3821507,0.26815322,0.755038,0.20652425,0.49512827,0.27111807,0.38579723,1.9682521,0.30219948,0.29564315,1.0618361,0.24200428,1.6346573,1.0729535
1954-02-16T00:00:00Z,0.8925505,0.6601349,1.4233863,0.502123,0.8872987,0.71280813,0.84733546,1.3505448,0.7999161,0.9759419,2.3532343,0.5201003,1.753312,1.3494313
