# sresa2_miroc3-2-medres_1_Prcp,,,,,,,,,,,,,,
,Arizona/New Mexico Mountains,Arizona/New Mexico Plateau,Central Basin and Range,Chihuahuan Deserts,Colorado Plateaus,High Plains,Mojave Basin and Range,Northern Basin and Range,Northwestern Great Plains,Sonoran Basin and Range,Southern Rockies,Southwestern Tablelands,Wasatch and Uinta Mountains,Wyoming Basin
TIMESTEP,MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d)
1952-06-15T00:00:00Z,0.1842093,0.13486342,0.26815408,0.2854026,0.19085872,1.5507867,0.13042049,2.2089608,2.4299388,0.14778057,0.4882249,0.23781925,0.6929511,0.8820662
1952-07-15T00:00:00Z,1.6102043,1.1742219,0.7134989,1.6643224,0.7403974,1.2410736,0.6350487,0.67215127,1.0423944,0.8105816,1.7206519,1.7386051,0.8647047,0.91841745
1952-08-15T00:00:00Z,2.6637838,2.3235536,2.524175,1.4343568,1.9410453,1.5445818,2.0485187,2.7378137,0.813593,3.1295516,2.7573404,1.8291854,2.846816,2.002387
1952-09-15T00:00:00Z,0.88530225,0.71562815,0.48897082,0.8739774,0.5475156,0.80321205,0.34615383,1.9569834,0.45641956,0.44731712,1.2579488,1.031753,0.7671518,0.7435777
1952-10-15T00:00:00Z,0.31455496,0.2756482,0.77165383,0.43965855,0.49949402,2.4714775,0.34794906,1.3721422,3.9705162,0.16921538,1.5191599,0.61101335,1.1835381,1.6966602
1952-11-15T00:00:00Z,0.35727644,0.3111811,0.80768996,0.20744936,0.55160886,0.32337263,0.2902194,2.5781174,0.8424892,0.12568487,1.2893395,0.2875443,1.4921517,1.0622643
1952-12-15T00:00:00Z,1.1990255,0.9437788,1.4857529,0.31005487,1.1585287,0.9886613,1.1371471,1.9050741,1.3215498,1.4890666,3.8581448,0.4365824,2.2503042,1.9194154
1953-01-16T00:00:00Z,0.30414012,0.21123469,0.48545146,0.19515923,0.24473609,0.12146729,0.3482703,0.68125147,0.2399613,0.3683885,0.5892318,0.24576809,0.7217505,0.41698906
1953-02-16T00:00:00Z,0.46182758,0.35141188,1.7485794,0.13151336,0.8048379,0.42618826,0.90570545,2.4504368,1.0311061,0.6659662,1.2603096,0.13123904,2.5521338,1.6435773
1953-03-15T00:00:00Z,0.38084903,0.2690997,1.011582,0.20193075,0.42101333,0.43181893,0.5541713,1.2998065,0.67430174,0.5132501,0.8486651,0.18525591,1.4507647,1.122692
1953-04-15T00:00:00Z,0.084074035,0.076409936,0.38878593,0.06299951,0.27005747,0.38991675,0.1063189,1.0323474,0.46475118,0.034685425,0.5650045,0.05639216,0.8497084,0.73489934
1953-05-15T00:00:00Z,0.6241389,0.47783628,1.2118102,0.7124531,0.8606865,1.4531832,0.47465542,1.7417945,1.0726537,0.11450276,1.4923062,1.1490313,2.045718,1.7433598
1953-06-15T00:00:00Z,0.27971828,0.22894602,0.37023988,0.37678447,0.41039515,1.7676061,0.20536128,1.4486146,1.4561441,0.24015228,1.044188,0.9276698,0.98254746,1.3508285
1953-07-15T00:00:00Z,2.2028952,1.5643351,1.2876964,2.1107657,1.2021579,2.1821258,1.1368196,1.528776,1.992163,1.5467201,2.0520277,2.1051402,1.6652586,1.8706455
1953-08-15T00:00:00Z,1.7849984,1.5159656,1.0439317,2.5523345,1.1580963,1.5269175,0.60566866,1.3023287,0.6614589,0.60562736,2.5317845,2.5810273,1.454996,1.3127131
1953-09-15T00:00:00Z,1.0249496,0.7752226,0.23538609,2.008031,0.5073586,0.96240234,0.084368855,0.3020265,0.37926784,0.07000084,1.5563803,2.0036192,0.5105103,0.5855039
1953-10-15T00:00:00Z,1.0147369,0.82682383,1.9169884,0.38538012,1.2976533,0.9361788,1.1936481,1.8394132,0.8873728,1.4302095,1.2804667,0.29626358,2.5330172,1.8309829
1953-11-15T00:00:00Z,0.9191759,0.7313624,1.5672665,0.369105,1.1947296,0.54954714,0.6268202,2.1360092,1.3164208,0.5176746,1.6793975,0.33247855,2.6512299,1.883945
1953-12-15T00:00:00Z,0.0899021,0.07328465,0.06537897,0.055436194,0.06510114,0.11915212,0.03592518,0.3023666,0.25597396,0.06031507,0.4635899,0.07688185,0.10539215,0.1413252
1954-01-16T00:00:00Z,1.0714086,0.74263084,2.2099502,0.23645449,1.3257917,0.51941365,1.6380285,2.4490347,0.81934386,1.3279059,1.9436271,0.17654607,3.1620264,1.9383607
1954-02-16T00:00:00Z,0.49613014,0.34871992,0.7952793,0.33263388,0.3007174,0.23754913,0.55134404,1.4890001,0.6299328,0.7025046,0.8362339,0.32584503,1.1165799,0.78856057
1954-03-15T00:00:00Z,0.604476,0.4741829,1.4845339,0.073251344,0.91359764,1.1468843,0.8651923,1.5026805,1.1426039,0.5801783,2.1858082,0.119225636,1.8907168,1.6624125
1954-04-15T00:00:00Z,0.40231654,0.3267238,0.18456732,0.63789254,0.44676694,1.0797677,0.04304577,0.5199021,1.1686286,0.009446266,2.2454457,1.3876232,0.67123824,1.0865041
1954-05-15T00:00:00Z,0.33236,0.33165804,1.0479151,0.20666626,0.77114344,3.5953832,0.44909546,4.887382,3.5535505,0.33821702,2.4020987,0.86294144,2.4192722,2.894343
1954-06-15T00:00:00Z,0.10333721,0.11017111,0.09096538,0.17828125,0.1649578,1.473071,0.06674606,1.0093632,1.8891908,0.044877566,0.82544535,0.47245842,0.29631272,0.6942361
1954-07-15T00:00:00Z,0.9864619,0.7416856,0.51579255,1.2986203,0.5461974,2.566351,0.55131847,0.50685495,1.6941012,0.9147365,2.1269293,2.258245,0.6595071,1.2439414
1954-08-15T00:00:00Z,0.7843338,0.64805096,0.22030677,1.2753463,0.28613442,1.004789,0.15161656,1.7213382,0.8707584,0.3024927,1.0836095,1.4396296,0.39717346,0.54756004
1954-09-15T00:00:00Z,0.29883033,0.2398055,0.6619051,0.034122016,0.3569706,0.42440552,0.5604979,1.6716073,0.9093346,0.6457665,0.23652475,0.028354725,0.8271498,0.62257993
1954-10-15T00:00:00Z,0.39829665,0.3369996,0.7795663,0.3406585,0.5323612,0.3663662,0.39689165,0.80147976,0.71748394,0.39864904,0.6443058,0.39242005,1.1272957,0.9200404
1954-11-15T00:00:00Z,0.06876221,0.060196944,0.11101428,0.076660275,0.09663361,0.23890398,0.013872005,1.2953808,0.776556,0.015322563,0.53660995,0.11016104,0.41245094,0.45066476
1954-12-15T00:00:00Z,0.43300277,0.30092874,0.7485044,0.33203948,0.51402974,0.32942608,0.36781412,1.8986424,0.696479,0.30071408,1.100722,0.35863248,1.525646,1.0165106
1955-01-16T00:00:00Z,0.8755698,0.60111934,1.2072517,0.58133155,0.7695633,0.2757018,0.888319,1.5807192,0.27737898,0.969444,1.5976628,0.54635984,1.9325329,1.232564
1955-02-16T00:00:00Z,2.5113435,1.8348525,5.179497,0.78805256,2.114643,0.69035393,3.4979222,3.2295878,1.1096804,3.552722,3.0834517,0.8807414,4.9298525,2.5995429
1955-03-15T00:00:00Z,1.1312052,0.8120027,2.0232227,0.12262858,1.0933437,0.7282357,1.3520881,2.0399709,1.0595361,1.629204,1.6742771,0.17260079,2.3405776,1.502937
1955-04-15T00:00:00Z,0.14931132,0.1519852,0.7544586,0.0802441,0.48741448,1.8213631,0.26515484,1.2773906,2.0943317,0.06982959,1.7142866,0.3093303,1.4106926,1.6659966
1955-05-15T00:00:00Z,0.3890363,0.33346096,0.056660328,0.57845986,0.11418883,1.7831557,0.03882727,0.86879116,0.99593955,0.10434467,1.5140991,1.4494277,0.17941657,0.6430251
1955-06-15T00:00:00Z,0.7782796,0.5747605,0.33008665,1.5325199,0.2930633,0.5258664,0.25072068,1.2753268,0.5309405,0.31152552,1.171948,2.1149337,0.59374064,0.49658278
1955-07-15T00:00:00Z,1.9111735,1.3807663,0.94270885,1.8717955,0.8181954,1.2797954,0.87036264,0.4722103,0.88630664,1.1908396,1.5570475,1.7186441,1.0348167,0.95684236
1955-08-15T00:00:00Z,1.6436379,1.4026713,1.1183997,1.4493675,1.0469074,1.2425345,0.83083594,1.0585192,0.65831876,1.226906,1.7722257,1.1542277,1.331198,1.1100243
1955-09-15T00:00:00Z,0.7790958,0.65268314,1.2765386,0.1832087,0.8229323,0.19272931,1.34375,0.34516537,0.16080807,1.7172076,0.66857964,0.3788698,1.1243865,0.66163576
